Folder,Filename,Type,Size,Last Modified,"Description",Notes,
Templates,smfGetAdvFNElement-Template-Specific-Line-Items.xls,xls,--,40121.9370833333,"A template showing how to dump annual and/or quarterly financial statements data from AdvFN for specific line item labels, using the smfGetAdvFNElement function.",--,
Elements,smf-elements-7.txt,txt,--,40121.5756944444,"AdvFN data elements",--,
Documentation,smfGetCSVFile-Function.html,html,--,39873.7369444444,"Documentation for smfGetCSVFile function",--,
Documentation,smfPricesByDates-Function.html,html,--,39815.1249074074,"Documentation for smfPricesByDates function",--,
Documentation,RCHGetHTMLTable-Function.html,html,--,39685.4552546296,"Documentation for RCHGetHTMLTable function",--,
Documentation,smfPricesBetween-Function.html,html,--,39370.983287037,"Documentation for smfPricesBetween function",--,
Documentation,smfTech-Function.html,html,--,39353.880787037,"Documentation for smfTech function",--,
Documentation,RCHGetYahooQuotes-Function.html,html,--,39353.8753935185,"Function to return a range of daily quotes values to worksheet cells, using Yahoo's CSV file interface, based on a list of ticker symbols and Yahoo codes. For example, this would return the opening and last traded prices on ticker symbols ""MMM"" and ""IBM"":<br><br>=RCHGetYahooQuotes(""MMM,IBM"" ,""ol1"")",--,
Documentation,RCHGetYahooHistory-Function.html,html,--,39175.712337963,"Documentation for RCHGetYahooHistory function",--,
Documentation,RCHCreateComment-Function.html,html,--,38973.8391898148,"Documentation for RCHCreateComment function",--,
Documentation,RCHGetWebData-Function.html,html,--,38967.6969212963,"Documentation for RCHGetWebData function",--,
Documentation,RCHGetElementNumber-Function-Example-001.html,html,--,38960.0735416667,"Documentation for RCHGetElementNumber function",--,
,SMF-All-Files.csv,csv,--,0,"A CSV file containing a list of all files on the SMF website",--,
Tips and FAQs,http://www.youtube.com/watch?v=N3zQQuo3AQ8,video,--,0,"YouTube video on how to use the smfFixLinks macro to remove the hard coded location in SMF add-in templates ",--,
Tips and FAQs,http://www.youtube.com/watch?v=hSv-HLA1Rqo,video,--,0,"YouTube video on how to manually remove the hard coded location in SMF add-in templates ",--,
